"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"venter",0.396307692307692,0.411692307692308,0.44,0.404976744186046,0.412930232558139,0.438976744186046,0.434235294117457,0.424235294117461,0.442588235293924
"insects",0.2897,0.4856,0.2509,0.291692307692308,0.477846153846154,0.253538461538462,0.292166666666667,0.476,0.254166666666667
"edifice",0.705,0.288,0.673,0.705,0.288,0.673,0.705,0.288,0.673
"commercial enterprise",0.688,0.569,0.755,0.688,0.569,0.755,0.688,0.569,0.755
"business enterprise",0.688,0.569,0.755,0.688,0.569,0.755,0.688,0.569,0.755
"venture",0.645387755102041,0.45369387755102,0.726755102040816,0.609507936507936,0.408142857142857,0.73515873015873,0.624081632653061,0.396040816326531,0.712632653061224
"endeavor",0.688,0.569,0.755,0.688,0.569,0.755,0.688,0.569,0.755
"hawser",0.583,0.245,0.434,0.583,0.245,0.434,0.583,0.245,0.434
"loved",0.506333333333333,0.541333333333333,0.600333333333333,0.506333333333333,0.541333333333333,0.600333333333333,0.506333333333333,0.541333333333333,0.600333333333333
"drainage basin",0.551999999999988,0.230999999999995,0.397999999999991,0.551999999983751,0.2309999999932,0.397999999988284,0.551999999999929,0.23099999999997,0.397999999999949
"catchment basin",0.551999999999988,0.230999999999995,0.397999999999991,0.551999999983751,0.2309999999932,0.397999999988284,0.551999999999929,0.23099999999997,0.397999999999949
"river catchment",0.551999999999988,0.230999999999995,0.397999999999991,0.551999999983751,0.2309999999932,0.397999999988284,0.551999999999929,0.23099999999997,0.397999999999949
"cellar",0.388,0.5,0.268,0.388,0.5,0.268,0.388,0.5,0.268
"cubicle",0.541,0.375,0.465,0.541,0.375,0.465,0.541,0.375,0.465
"earthernware",0.5625,0.23,0.3465,0.5625,0.23,0.3465,0.5625,0.23,0.3465
"nautical chart",0.561,0.229,0.463,0.561,0.229,0.463,0.561,0.229,0.463
"infant",0.861333333333333,0.443111111111111,0.435333333333333,0.88025,0.45525,0.42625,0.869666666666667,0.453666666666667,0.430666666666667
"infancy",0.865,0.413,0.307,0.865,0.413,0.307,0.865,0.413,0.307
"chimneystack",0.583,0.286,0.225,0.583,0.286,0.225,0.583,0.286,0.225
"funnel",0.583,0.286,0.225,0.583,0.286,0.225,0.583,0.286,0.225
"fireplace",0.583,0.286,0.225,0.583,0.286,0.225,0.583,0.286,0.225
"smoking pipe",0.541,0.34,0.33,0.541,0.34,0.33,0.541,0.34,0.33
"town",0.847,0.531,0.508,0.847,0.531,0.508,0.847,0.531,0.508
"settlement",0.847,0.531,0.508,0.847,0.531,0.508,0.847,0.531,0.508
"ranking",0.583,0.423,0.613,0.583,0.423,0.613,0.583,0.423,0.613
"detergent",0.604,0.353,0.433,0.604,0.353,0.433,0.604,0.353,0.433
"thing",0.716990990990991,0.362135135135135,0.41681981981982,0.693833333333333,0.356916666666667,0.410458333333333,0.700952380952381,0.359619047619048,0.413190476190476
"things",0.716990990990991,0.362135135135135,0.41681981981982,0.693833333333333,0.356916666666667,0.410458333333333,0.700952380952381,0.359619047619048,0.413190476190476
"shore",0.803,0.458,0.483,0.803,0.458,0.483,0.803,0.458,0.483
"siding",0.62,0.44,0.596,0.62,0.44,0.596,0.62,0.44,0.596
"code",0.49,0.414,0.5,0.49,0.414,0.5,0.49,0.414,0.5
"nose candy",0.429,0.488285714285714,0.409142857142857,0.429,0.488285714285714,0.409142857142857,0.429,0.488285714285714,0.409142857142857
"winter",0.398,0.538,0.348,0.398,0.538,0.348,0.398,0.538,0.348
"colourant",0.685558823529412,0.301941176470588,0.403441176470588,0.704090909090909,0.302,0.408454545454545,0.699111111111111,0.299888888888889,0.408666666666667
"tincture",0.685558823529412,0.301941176470588,0.403441176470588,0.704090909090909,0.302,0.408454545454545,0.699111111111111,0.299888888888889,0.408666666666667
"suit",0.735251764705605,0.445119663865387,0.585188235293895,0.740570033670024,0.444903703703698,0.585227946127939,0.741548309178744,0.443577777777778,0.583885507246377
"compression",0.531,0.471,0.582,0.531,0.471,0.582,0.531,0.471,0.582
"indemnity",0.775,0.469,0.598,0.775,0.469,0.598,0.775,0.469,0.598
"compensation for damage",0.775,0.469,0.598,0.775,0.469,0.598,0.775,0.469,0.598
"preservation",0.832,0.401,0.606,0.832,0.401,0.606,0.832,0.401,0.606
"consultation",0.698,0.408,0.688,0.698,0.408,0.688,0.698,0.408,0.688
"pollution",0.125,0.61,0.375,0.125,0.61,0.375,0.125,0.61,0.375
"impurity",0.125,0.61,0.375,0.125,0.61,0.375,0.125,0.61,0.375
"cool down",0.861,0.373,0.6315,0.861,0.373,0.6315,0.861,0.373,0.6315
"cooperation",0.885,0.628,0.741,0.885,0.628,0.741,0.885,0.628,0.741
"stopper",0.347,0.25,0.281,0.347,0.25,0.281,0.347,0.25,0.281
"expenditure",0.365,0.42,0.439,0.365,0.42,0.439,0.365,0.42,0.439
"market coverage",0.615,0.382,0.583,0.615,0.382,0.583,0.615,0.382,0.583
"justification",0.615,0.382,0.583,0.615,0.382,0.583,0.615,0.382,0.583
"coverlet",0.489571428571429,0.251714285714286,0.451857142857143,0.517444444444444,0.280666666666667,0.481,0.489571428571429,0.251714285714286,0.451857142857143
"trade",0.7425,0.4765,0.552,0.7425,0.4765,0.552,0.7425,0.4765,0.552
"delinquency",0.122,0.863,0.58,0.122,0.863,0.58,0.122,0.863,0.58
"intersection",0.428972280528679,0.313979711156189,0.369976092763662,0.428990093522004,0.313992749104684,0.369991455951379,0.428990093522004,0.313992749104684,0.369991455951379
"passage",0.520486778598317,0.352990322796903,0.489988596926287,0.520495479346195,0.352996691176469,0.489996101067814,0.520495479346195,0.352996691176469,0.489996101067814
"zebra crossing",0.428973557196633,0.313980645593806,0.369977193852574,0.42899095869239,0.313993382352938,0.369992202135628,0.42899095869239,0.313993382352938,0.369992202135628
"pedestrian crossing",0.428973557196633,0.313980645593806,0.369977193852574,0.42899095869239,0.313993382352938,0.369992202135628,0.42899095869239,0.313993382352938,0.369992202135628
"crosswalk",0.428973557196633,0.313980645593806,0.369977193852574,0.42899095869239,0.313993382352938,0.369992202135628,0.42899095869239,0.313993382352938,0.369992202135628
"cultivation",0.6358,0.3484,0.544,0.649666666666667,0.407333333333333,0.573333333333333,0.641,0.3705,0.555
"tillage",0.6358,0.3484,0.544,0.649666666666667,0.407333333333333,0.573333333333333,0.641,0.3705,0.555
"culture",0.788,0.378,0.757,0.788,0.378,0.757,0.788,0.378,0.757
"tornado",0.416,0.796,0.673,0.416,0.796,0.673,0.416,0.796,0.673
"typhoon",0.416,0.796,0.673,0.416,0.796,0.673,0.416,0.796,0.673
"embankment dam",0.25,0.553,0.394,0.25,0.553,0.394,0.25,0.553,0.394
"weir",0.25,0.553,0.394,0.25,0.553,0.394,0.25,0.553,0.394
"lowhead dam",0.25,0.553,0.394,0.25,0.553,0.394,0.25,0.553,0.394
"power socket",0.557,0.4125,0.425,0.557,0.4125,0.425,0.557,0.4125,0.425
"socket",0.557,0.4125,0.425,0.557,0.4125,0.425,0.557,0.4125,0.425
"dyke",0.25,0.553,0.394,0.25,0.553,0.394,0.25,0.553,0.394
"levee",0.25,0.553,0.394,0.25,0.553,0.394,0.25,0.553,0.394
"detriment",0.059,0.726,0.403,0.059,0.726,0.403,0.059,0.726,0.403
"injury",0.059,0.726,0.403,0.059,0.726,0.403,0.059,0.726,0.403
