"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"be",5.67074136955291,3.77031975099038,5.30712790039615,5.68009746588694,3.7469298245614,5.25770955165692,5.6847,3.7403,5.18115
"latter",5.23,3.48,5.35,5.23,3.48,5.35,5.23,3.48,5.35
"stench",2.35,4.48,4.76,2.35,4.48,4.76,2.35,4.48,4.76
"crash",3.24,4.96,3.295,3.24,4.96,3.295,3.24,4.96,3.295
"hope",4.55,3.62,5.31,4.55,3.62,5.31,4.55,3.62,5.31
"aloft",5.39125,3.9925,5.53125,5.39125,3.9925,5.53125,5.39125,3.9925,5.53125
"ascending",5.4415,4.045,5.5275,5.4415,4.045,5.5275,5.4415,4.045,5.5275
"in ascending order",5.39125,3.9925,5.53125,5.39125,3.9925,5.53125,5.39125,3.9925,5.53125
"doubled",5.49209976159912,3.83434256372639,5.15498441225014,5.49555555555555,3.82888888888889,5.15444444444444,5.49555555555555,3.82888888888889,5.15444444444444
"look-alike",5.56369337979094,3.72135888501742,5.14379790940767,5.56666666666666,3.71666666666667,5.14333333333333,5.56666666666666,3.71666666666667,5.14333333333333
"two-fold",5.47449477351916,3.86212543554007,5.15773519163763,5.49555555555555,3.82888888888889,5.15444444444444,5.49555555555555,3.82888888888889,5.15444444444444
"direction",5.16066666666667,3.23266666666667,5.14666666666667,5.216,3.22,5.222,5.39333333333333,3.20666666666667,5.57
"develop",5.7,4.46,5.48,5.7,4.46,5.48,5.7,4.46,5.48
"midnight",5.72,2.15,5,5.72,2.15,5,5.72,2.15,5
"encircle",5.25490276738968,4.26415108451758,5.55235976065819,5.09272167288052,4.13310423083157,5.54037121089317,5.24511549057003,4.25088366179275,5.56290527654164
"soft spot",2.94999999999999,4.89999999999999,5.31999999999998,2.95,4.89999999999999,5.31999999999999,2.95,4.89999999999999,5.31999999999999
"by and large",5.47485492911882,3.19699557904749,6.57382215941639,5.47996653612239,3.19998045904957,6.57995981892068,5.47996653612239,3.19998045904957,6.57995981892068
"more often than not",5.47485492911882,3.19699557904749,6.57382215941639,5.47996653612239,3.19998045904957,6.57995981892068,5.47996653612239,3.19998045904957,6.57995981892068
"mostly",5.47485492911882,3.19699557904749,6.57382215941639,5.47996653612239,3.19998045904957,6.57995981892068,5.47996653612239,3.19998045904957,6.57995981892068
"jacket",5.90666666666667,3.79,6.00333333333333,5.90666666666667,3.79,6.00333333333333,5.90666666666667,3.79,6.00333333333333
"gown",6.14,4.88,5.86,6.14,4.88,5.86,6.14,4.88,5.86
"detest",2.60854838709677,5.34516129032258,4.77548387096774,2.62464285714286,5.38372448979592,4.73816326530612,2.56729166666667,5.39520833333333,4.71333333333333
"grapheme",5.68,3.19,5.97,5.68,3.19,5.97,5.68,3.19,5.97
"idea",5.86,4.25,5.42,5.86,4.25,5.42,5.86,4.25,5.42
"just",6.06267566601135,3.53775804360793,5.7552335385831,6.3975248145089,3.42615358585018,5.89560707121806,6.23991574736521,3.48794867407815,5.86648990670025
"equitable",6.60133783300568,3.41387902180397,5.93761676929155,6.76876240725445,3.35807679292509,6.00780353560903,6.68995787368261,3.38897433703907,5.99324495335013
"abominate",2.505,5.675,4.56,2.505,5.675,4.56,2.505,5.675,4.56
"acme",5.79208722741433,3.98274143302181,5.47906542056075,5.78066666666667,4.014,5.42453333333333,5.78066666666667,4.014,5.42453333333333
"culmination",5.66160176531672,4.11069833852544,5.08057632398754,5.7168,4.0368,5.21344,5.7168,4.0368,5.21344
"affable",7.3548,3.868,6.9696,7.31769230769213,3.83846153846145,6.9092307692306,7.31769230769213,3.83846153846145,6.9092307692306
"friendly",7.032,3.60428571428571,6.51257142857143,7.02769230769213,3.60446153846145,6.4692307692306,7.02769230769213,3.60446153846145,6.4692307692306
"genial",7.3548,3.868,6.9696,7.31769230769213,3.83846153846145,6.9092307692306,7.31769230769213,3.83846153846145,6.9092307692306
"amicable",7.2744,3.804,6.8388,7.16307692307639,3.71538461538434,6.65769230769181,7.16307692307639,3.71538461538434,6.65769230769181
"cordial",7.3548,3.868,6.9696,7.31769230769213,3.83846153846145,6.9092307692306,7.31769230769213,3.83846153846145,6.9092307692306
"grandchild",6.22,3.36,5.39,6.22,3.36,5.39,6.22,3.36,5.39
"appropriate",5.62583333333333,4.24083333333333,5.8825,5.62125,4.02875,6.11625,5.4175,3.9925,5.97
"eligible",6.02666666666667,3.79666666666667,5.75666666666667,6.02666666666667,3.79666666666667,5.75666666666667,6.02666666666667,3.79666666666667,5.75666666666667
"adequate",6.02666666666667,3.79666666666667,5.75666666666667,6.02666666666667,3.79666666666667,5.75666666666667,6.02666666666667,3.79666666666667,5.75666666666667
"flag",5.218,3.622,5.406,5.25,3.67,5.56333333333333,5.23,3.64,5.465
"banner",6.1,3.74,5.56,6.1,3.74,5.56,6.1,3.74,5.56
"empty",4.01428571428571,3.32857142857143,4.65142857142857,4.14,3.35333333333333,4.74333333333333,4.14,3.35333333333333,4.74333333333333
"emptiness",3.78,2.25,3.61,3.78,2.25,3.61,3.78,2.25,3.61
"carcass",2.84,4.42,3.94,2.84,4.42,3.94,2.84,4.42,3.94
"corpse",2.02,3.91,2.66,2.02,3.91,2.66,2.02,3.91,2.66
"cadaver",4.112,4.244,4.686,4.112,4.244,4.686,4.112,4.244,4.686
"clarify",5.78997833622184,3.29861785095321,6.11310008665511,5.77203488372092,3.33174418604651,6.10892441860464,5.77647435897436,3.31698717948718,6.0788141025641
"declare",5.47495667244367,3.85223570190641,6.08870017331023,5.43906976744186,3.91848837209302,6.0803488372093,5.44794871794872,3.88897435897436,6.0201282051282
"explain",5.55777642980936,3.66383622183709,5.92129289428076,5.46536107711137,3.81673806609546,5.85127906976743,5.49222222222222,3.75944444444444,5.78694444444444
"explicate",5.53991334488735,3.70447140381282,5.95740034662045,5.46813953488371,3.83697674418604,5.9406976744186,5.48589743589744,3.77794871794872,5.82025641025641
"chain",5.24777777777778,3.93222222222222,4.52,5.82,3.785,4.92,5.82,3.785,4.92
"counterpane",5.6641935483871,3.58903225806452,5.81548387096774,5.66263157872236,3.59263157880782,5.81473684187481,5.66666666666667,3.58333333333333,5.81666666666667
"funny",6.78816666666667,5.00591666666667,6.16275,6.7802380952381,4.98023809523809,6.10714285714286,6.78023809523809,4.9802380952381,6.10714285714286
"bizarre",6.08375,4.40041666666667,5.71458333333333,6.478,4.653,5.98,6.38444444444444,4.61444444444444,5.94222222222222
"amusing",7.07261904761905,5.09333333333333,6.21619047619048,6.77952380952381,4.99452380952381,6.07428571428571,6.77952380952381,4.99452380952381,6.07428571428571
