WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
13;5;11;bring;give
4;3;4;bring;send
4;3;3;bring;pick up
3;3;3;bring;seize
4;4;4;bring;hold
9;4;9;bring;get
4;3;4;bring;catch
4;4;4;bring;drive
33;6;32;send;let go or set free
7;4;7;send;allow or permit
6;4;6;send;lead (guide)
31;18;26;send;command
4;4;4;send;put
8;4;8;send;drive
3;3;3;send;take
3;3;3;send;give
3;3;3;send;say
4;4;4;send;rule
6;3;4;send;push
6;6;6;ride;sit
16;7;16;ride;drive
10;7;10;push;squeeze
7;4;7;push;pull
5;3;5;push;dig
3;3;3;push;split
6;5;6;push;grind
19;8;18;push;press
3;3;3;push;pound
30;3;27;push;refuse
7;3;7;push;rub
5;3;5;push;wipe
153;43;133;road;path
22;7;20;road;manner
12;8;12;road;footprint
47;13;45;road;path or road
18;15;18;road;street
8;4;8;axle;spindle
198;24;181;canoe;boat
98;4;83;canoe;outrigger
9;6;7;canoe;raft
5;4;5;canoe;trough
10;4;10;canoe;ship
9;6;8;row;paddle
12;7;12;row;oar
5;5;5;row;mix
3;3;3;row;drive
3;3;3;mast;doorpost
12;6;11;mast;post
3;3;3;port;bridge
105;30;100;have;own
21;10;20;have;hold
17;10;17;have;keep
9;9;9;have;get
4;3;4;have;sit
3;3;3;have;find
6;4;6;have;dwell (live, reside)
4;4;4;have;carry in hand
14;3;14;have;rich
3;3;3;have;remain
8;7;8;have;be
51;26;49;take;hold
63;11;61;take;buy
96;27;94;take;get
3;3;3;take;do or make
73;31;65;take;seize
3;3;3;take;keep
54;29;53;take;catch
12;11;12;take;trap (catch)
7;7;7;take;choose
3;3;3;take;drink
34;16;33;take;pick up
7;7;7;take;borrow
6;5;6;take;marry
4;3;4;take;smoke (exhaust)
24;4;24;take;give
4;4;4;take;hunt
9;5;9;take;carry in hand
6;3;6;take;carry on head
6;5;6;take;carry on shoulder
4;4;4;take;lead (guide)
4;3;4;take;break (destroy or get destroyed)
61;12;59;seize;trap (catch)
161;36;150;seize;catch
145;23;140;seize;hold
10;4;10;seize;buy
3;3;3;seize;borrow
3;3;3;seize;sing
21;10;21;seize;get
5;5;5;seize;embrace
5;5;5;seize;keep
4;4;4;seize;own
3;3;3;seize;choose
3;3;3;seize;stretch
4;3;4;seize;cover
5;3;4;seize;gather
7;7;7;seize;pick up
5;4;5;seize;pinch
8;8;8;seize;hunt
5;4;5;seize;touch
3;3;3;seize;rub
7;4;7;seize;carry in hand
3;3;3;seize;burning
4;3;4;seize;build
4;4;4;hold;defend
3;3;3;hold;squeeze
44;9;44;hold;trap (catch)
116;29;115;hold;catch
59;14;52;hold;keep
24;13;22;hold;own
14;4;13;hold;preserve
8;3;8;hold;buy
5;3;5;hold;rule
14;9;10;hold;get
31;14;31;hold;carry in hand
15;5;15;hold;embrace
6;4;6;hold;touch
3;3;3;hold;pinch
3;3;3;hold;dig
5;4;5;hold;fight
5;4;5;hold;build
4;3;4;hold;work (activity)
4;3;4;hold;pull
10;6;10;get;see
5;5;5;get;gather
3;3;3;get;kill
35;16;34;get;find
4;3;4;get;lie down
19;13;19;get;catch
28;9;27;get;buy
14;8;14;get;earn
12;9;12;get;own
4;3;3;get;keep
5;5;5;get;choose
3;3;3;get;marry
13;12;13;get;pick up
10;8;10;get;meet
6;6;6;get;trap (catch)
6;4;6;get;borrow
3;3;3;get;carry in hand
3;3;3;get;understand
4;3;4;get;want
158;25;146;keep;preserve
17;10;16;keep;own
3;3;3;keep;catch
10;7;10;keep;put
5;4;4;keep;rescue
19;4;18;keep;defend
7;6;6;keep;pick up
3;3;3;keep;hide (conceal)
22;11;21;keep;guard
4;3;4;keep;hide (oneself)
9;4;9;keep;protect
12;6;12;thing;tool
12;9;12;thing;what
9;7;9;thing;some
6;3;6;thing;word
3;3;3;thing;person
3;3;3;thing;food
7;5;6;thing;animal
4;3;4;thing;which
37;8;37;thing;item
36;6;34;thing;affair
7;3;7;thing;work (labour)
4;3;4;give;borrow
5;3;4;give;mother
5;4;5;give;die
5;4;5;give;kill
3;3;3;give;seed
11;6;11;give;hear
5;3;5;give;bone
7;5;7;give;permit
5;3;5;give;see
6;4;6;give;eye
9;4;9;give;surrender
19;14;17;give;lend
5;4;5;give;give back
9;3;9;give;betray
11;6;11;give;allow or permit
28;7;28;give;pay
27;11;25;give;sell
9;7;9;give;share
21;8;18;give;put
6;6;6;give;say
16;7;14;give;do or make
4;3;4;give;sacrifice
5;3;4;give;thou
4;3;3;give;now
8;3;8;give;i
3;3;3;give;he or she or it
9;6;9;give;drink
5;3;5;give;penis
3;3;3;give;speak
13;5;13;give;do
4;3;4;give;far
38;8;37;give;donate
7;4;7;give;cause to (let)
15;9;15;give back;come back
4;4;4;give back;pay
7;3;7;give back;answer
6;4;6;destroy;grind
28;9;28;destroy;break (destroy or get destroyed)
11;3;11;destroy;rub
9;7;9;destroy;misplace
9;5;7;destroy;kill
16;11;16;destroy;damage or injure
5;5;5;destroy;finish
4;3;4;destroy;spread out
12;9;11;destroy;damage
14;8;13;destroy;break (cleave)
10;6;10;destroy;spoil (somebody or something)
3;3;3;destroy;injure
8;4;7;damage or injure;pain
8;5;6;damage or injure;wound
3;3;3;damage or injure;bad
3;3;3;damage or injure;rotten
46;27;44;find;meet
31;22;31;find;see
3;3;3;find;beget
15;6;15;find;look for
3;3;3;find;be born
4;3;4;find;know (something)
6;3;6;find;earn
4;3;4;find;understand
4;4;4;find;look
6;5;6;misplace;forget
8;5;8;misplace;drop (something)
3;3;3;misplace;hide (conceal)
146;25;143;money;silver
50;22;49;money;coin
6;4;6;money;scale
16;5;16;money;iron
7;3;7;money;price
3;3;3;rich;wealth
12;4;12;poor;difficult
15;6;14;poor;beggar
5;5;5;poor;orphan
3;3;3;beggar;orphan
3;3;3;stingy;envy
95;12;83;stingy;greedy
5;4;5;stingy;hard
59;23;50;lend;borrow
18;7;17;borrow;ask (request)
5;5;5;borrow;catch
10;4;10;borrow;hire or rent
4;3;4;borrow;owe
17;8;17;debt;owe
4;3;4;debt;blame
7;6;7;debt;bill
11;5;11;pay;sell
4;3;4;pay;trade or barter
13;11;12;pay;buy
8;5;7;pay;wages
6;4;6;pay;answer
4;3;4;pay;price
8;6;8;bill;count
5;5;5;bill;price
3;3;3;hire or rent;wages
11;4;11;earn;look for
3;3;3;earn;victory
25;12;25;buy;sell
4;3;4;buy;cry
5;3;5;buy;want
9;4;9;buy;trade or barter
3;3;3;buy;change
3;3;3;buy;shout
6;6;6;buy;pick up
4;3;4;buy;catch
4;4;4;buy;ask (request)
3;3;3;sell;eye
25;7;25;sell;betray
24;10;23;sell;trade or barter
3;3;3;sell;change
25;19;25;trade or barter;change
10;8;8;market;store
3;3;3;market;town
12;11;12;price;wages
4;3;4;price;punishment
30;9;30;price;expensive
9;4;8;expensive;hard
8;4;7;expensive;heavy
9;6;9;expensive;difficult
17;3;17;expensive;holy
3;3;3;expensive;tall
19;6;18;expensive;precious
10;5;10;expensive;dear
10;5;10;cheap;light (weight)
24;8;24;cheap;easy
3;3;3;cheap;low
134;19;131;share;divide
4;3;4;share;part
26;11;24;share;separate
4;3;4;share;split
3;3;3;share;spread out
26;3;26;weigh;pull
22;4;22;weigh;stretch
59;22;59;weigh;measure
8;5;8;weigh;hang up
4;3;4;weigh;try
3;3;3;weigh;taste (something)
10;9;10;weigh;count
5;5;5;weigh;heavy
3;3;3;weigh;read
18;4;18;place (position);chair
15;7;15;place (position);country
6;3;6;place (position);mainland
14;10;14;place (position);land
3;3;3;place (position);part
3;3;3;place (position);village
7;4;4;place (position);put
4;3;4;place (position);bed
5;5;5;place (position);floor
6;6;6;place (position);world
6;4;6;place (position);time
3;3;3;place (position);house
6;4;4;place (position);room
28;9;28;place (position);area
35;9;34;place (position);space (available)
9;4;9;place (position);ground
18;6;18;put;do or make
5;3;5;put;plant (something)
5;3;5;put;fold
3;3;3;put;hang up
3;3;3;put;allow or permit
5;4;5;put;gather
3;3;3;put;cause
4;4;4;put;let go or set free
10;7;10;put;put on
3;3;3;put;remain
3;3;3;put;preserve
6;5;6;put;cook (something)
152;19;149;sit;dwell (live, reside)
6;5;6;sit;be alive
5;3;5;sit;eat
4;3;4;sit;chair
27;13;27;sit;remain
5;3;5;sit;stand
5;5;5;sit;be alive or life
4;4;4;sit;lie down
40;12;40;sit;sit down
5;3;5;sit;set (heavenly bodies)
197;40;191;lie down;sleep
7;5;7;lie down;dig
3;3;3;lie down;rest
6;6;6;lie down;dwell (live, reside)
3;3;3;lie down;kill
5;3;5;lie down;woman
3;3;3;lie down;gather
3;3;3;lie down;what
14;7;14;stand;stand up
6;3;6;stand;last (endure)
6;4;6;stand;dwell (live, reside)
7;3;7;stand;remain
34;6;34;stand;wake up
29;15;28;stand;cease
3;3;3;stand;hear
11;8;11;stand;halt (stop)
70;22;65;remain;dwell (live, reside)
7;3;7;remain;remains
9;4;9;remain;cease
9;5;8;remain;be alive or life
5;3;4;remain;last (endure)
4;4;4;remain;come back
4;3;4;remain;wait (for)
5;5;5;remain;halt (stop)
6;3;6;remain;become
3;3;3;remain;be
12;8;11;gather;mow
66;11;66;gather;pile up
6;5;6;gather;choose
57;19;54;gather;pick up
13;3;13;gather;fold
26;15;25;gather;join
5;3;5;gather;wrap
14;3;14;gather;sweep
3;3;3;gather;harvest
3;3;3;gather;steal
10;5;10;gather;pick
4;3;4;pick up;pull
8;3;8;pick up;pile up
8;6;8;pick up;mow
5;3;5;pick up;fold
12;6;12;pick up;choose
3;3;3;pick up;join
6;6;6;pick up;catch
3;3;3;pick up;trap (catch)
9;7;9;join;tie
5;4;5;join;meet
3;3;3;join;touch
3;3;3;join;split
4;3;4;join;near
3;3;3;join;kill
8;3;8;join;mix
11;4;10;join;pile up
21;6;20;join;connect
66;23;60;separate;divide
13;9;13;separate;split
3;3;3;separate;tear (shred)
14;4;14;separate;divorce
4;4;4;separate;cut
3;3;3;separate;untie
3;3;3;separate;spread out
9;3;9;separate;choose
21;10;19;divide;split
5;4;5;divide;cut
4;3;4;divide;spread out
27;13;27;open;untie
6;5;6;open;let go or set free
10;5;8;open;spread out
44;22;43;shut;cover
3;3;3;shut;bury
10;5;9;shut;tie
8;5;8;cover;bury
6;5;6;cover;wrap
14;7;12;cover;hide (conceal)
3;3;3;cover;put on
3;3;3;cover;squeeze
3;3;3;cover;split
4;3;4;cover;hide (oneself)
9;6;9;high;deep
182;40;168;high;tall
28;17;24;high;long
16;4;16;high;loud
11;10;11;high;big
11;8;11;high;top
33;25;32;high;up
4;3;4;high;heaven
6;4;6;high;sky
5;3;5;high;above
20;11;20;low;shallow
40;21;39;low;short
7;5;6;low;small
30;13;29;low;down or below
5;4;5;low;deep
42;15;41;low;below or under
12;7;10;low;bottom
4;4;4;low;few
14;8;14;low;down
134;31;122;pointed;sharp
