FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
4;8;brook;stream;0,594;0,347;0,412;0,449;0,537;0,559
1;4;drake;duck;0,467;0,411;0,452;0,594;0,337;0,236
2;3;marsh;moor;0,302;0,358;0,277;0,311;0,464;0,378
2;5;bog;moor;0,302;0,361;0,365;0,311;0,464;0,378
6;13;belly;stomach;0,51;0,388;0,387;0,367;0,402;0,438
1;7;building;edifice;0,705;0,288;0,673;0,551;0,403;0,61
2;9;business;firm;0,688;0,569;0,755;0,635;0,38;0,728
2;9;business;corporation;0,688;0,569;0,755;0,429;0,332;0,873
2;9;business;company;0,688;0,569;0,755;0,906;0,425;0,798
2;9;business;venture;0,688;0,569;0,755;0,893;0,81;0,644
2;9;business;concern;0,688;0,569;0,755;0,25;0,734;0,463
2;9;business;partnership;0,688;0,569;0,755;0,786;0,387;0,545
1;4;business;endeavor;0,688;0,569;0,755;0,677;0,755;0,765
2;3;business;shop;0,688;0,569;0,755;0,725;0,632;0,565
1;2;cable;cord;0,583;0,245;0,434;0,388;0,378;0,358
1;5;costly;loved;0,316;0,65;0,642;0,927;0,452;0,582
1;5;expensive;loved;0,323;0,54;0,53;0,927;0,452;0,582
2;2;carbon;charcoal;0,604;0,36;0,35;0,302;0,186;0,342
1;8;catastrophe;disaster;0,146;0,952;0,67;0,082;0,892;0,433
1;8;basement;cellar;0,388;0,5;0,268;0,51;0,277;0,406
1;2;cell;cubicle;0,541;0,375;0,465;0,479;0,343;0,417
1;3;ceramics;crockery;0,573;0,25;0,373;0,552;0,216;0,327
1;3;crockery;earthenware;0,552;0,216;0,327;0,552;0,21;0,32
1;3;ceramics;earthenware;0,573;0,25;0,373;0,552;0,21;0,32
1;3;board;map;0,592;0,255;0,385;0,561;0,229;0,463
2;4;child;infant;0,912;0,46;0,413;0,802;0,431;0,328
3;4;boy;child;0,646;0,392;0,445;0,912;0,46;0,413
1;4;childhood;infancy;0,865;0,413;0,307;0,75;0,399;0,37
1;2;chimney;funnel;0,583;0,286;0,225;0,354;0,274;0,336
2;2;chimney;fireplace;0,583;0,286;0,225;0,667;0,38;0,417
2;2;chimney;pipe;0,583;0,286;0,225;0,541;0,34;0,33
2;2;church;temple;0,708;0,198;0,61;0,612;0,269;0,66
6;9;city;town;0,847;0,531;0,508;0,551;0,299;0,627
6;9;city;settlement;0,847;0,531;0,508;0,635;0,412;0,723
1;2;classification;ranking;0,583;0,423;0,613;0,54;0,592;0,68
1;2;cleanser;detergent;0,604;0,353;0,433;0,458;0,304;0,426
2;7;apparel;clothing;0,698;0,435;0,453;0,75;0,343;0,407
2;7;clothes;clothing;0,833;0,27;0,414;0,75;0,343;0,407
2;7;apparel;clothes;0,698;0,435;0,453;0,833;0,27;0,414
2;7;apparel;thing;0,698;0,435;0,453;0,449;0,222;0,26
2;7;clothing;things;0,75;0,343;0,407;0,519;0,25;0,368
2;7;apparel;things;0,698;0,435;0,453;0,519;0,25;0,368
2;2;clothing;dress;0,75;0,343;0,407;0,76;0,3;0,345
2;2;apparel;dress;0,698;0,435;0,453;0,76;0,3;0,345
3;4;apparel;attire;0,698;0,435;0,453;0,742;0,388;0,483
3;3;clothing;garment;0,75;0,343;0,407;0,531;0,333;0,38
3;3;apparel;garment;0,698;0,435;0,453;0,531;0,333;0,38
1;15;coast;shore;0,719;0,396;0,458;0,542;0,304;0,204
1;15;seaside;shore;0,887;0,52;0,508;0,542;0,304;0,204
1;2;coating;covering;0,62;0,44;0,596;0,615;0,382;0,583
1;3;cipher;code;0,49;0,414;0,5;0,583;0,308;0,491
1;2;cold;winter;0,398;0,538;0,348;0,663;0,355;0,5
1;7;chill;cold;0,837;0,206;0,482;0,398;0,538;0,348
1;4;color;tincture;0,786;0,28;0,402;0,44;0,36;0,402
2;4;color;paint;0,786;0,28;0,402;0,667;0,343;0,413
1;2;color;suit;0,786;0,28;0,402;0,776;0,282;0,482
1;2;compaction;compression;0,531;0,471;0,582;0,646;0,521;0,579
3;11;compensation;indemnity;0,775;0,469;0,598;0,47;0,607;0,692
1;3;conservation;preservation;0,832;0,401;0,606;0,667;0,51;0,686
1;2;advice;consultation;0,698;0,408;0,688;0,66;0,463;0,625
4;9;contamination;pollution;0,125;0,61;0,375;0,062;0,694;0,445
2;2;contamination;impurity;0,125;0,61;0,375;0,173;0,546;0,306
1;3;agreement;deal;0,76;0,44;0,736;0,719;0,599;0,543
3;13;collaboration;cooperation;0,885;0,628;0,741;0,847;0,473;0,686
2;9;cork;stopper;0,347;0,25;0,281;0,365;0,336;0,39
2;3;cost;expenditure;0,365;0,42;0,439;0,25;0,608;0,603
1;5;coverage;covering;0,767;0,413;0,629;0,615;0,382;0,583
1;2;covering;justification;0,615;0,382;0,583;0,622;0,444;0,661
2;4;craft;trade;0,76;0,321;0,539;0,561;0,544;0,69
2;3;criminality;delinquency;0,122;0,863;0,58;0,135;0,86;0,508
2;3;crime;criminality;0,071;0,943;0,63;0,122;0,863;0,58
