FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
3;11;cloth;fabric;6,2;2,58;5,4;6,05;2,4;5,8
1;2;dwelling;housing;5,21;3,57;5,82;5,85;2,73;6,12
3;4;apartment;dwelling;5,72;3,8;5,33;5,21;3,57;5,82
1;3;issue;matter;3,95;4,55;5,47;5,82;4,05;6,12
1;3;concern;issue;5,05;4,7;5,55;3,95;4,55;5,47
6;18;economics;economy;5,2;3,7;4,05;3,64;5,32;4,16
2;2;economy;farm;3,64;5,32;4,16;6,22;3,05;6,08
1;4;education;training;6,58;4,64;6,82;5,19;4,1;6,26
2;4;education;upbringing;6,58;4,64;6,82;6,32;4,27;4,68
1;2;effect;influence;5,5;4,08;5,88;5,53;4,3;5,96
1;2;clout;effect;5,24;4,48;4,59;5,5;4,08;5,88
7;14;ball;egg;6,14;3,48;5,47;5,95;3,28;5,74
7;14;egg;testicle;5,95;3,28;5,74;4,19;5,4;4,86
7;14;egg;nut;5,95;3,28;5,74;5,44;4,24;4,56
2;2;employment;occupation;6;5,02;5,36;4,77;4,33;5,47
1;2;employment;position;6;5,02;5,36;5,56;3,35;4,72
1;2;enforcement;function;4,67;4,48;4;5,55;4,1;6,18
2;3;entourage;environment;4,9;4;5,29;6,7;3,45;4,62
2;2;device;equipment;5,79;3,42;5,95;5,62;3,04;5,2
1;2;ethical;ethics;5,78;3,78;5,71;6;3,71;6,6
3;9;appraisal;evaluation;5,09;4,09;5,65;4,86;5,89;4,62
2;2;estimate;evaluation;5,95;3,41;5,43;4,86;5,89;4,62
2;9;assessment;evaluation;5,22;2,75;5,44;4,86;5,89;4,62
1;2;experiment;experimentation;6,05;4,86;5,7;6;5,52;5,48
1;2;experiment;test;6,05;4,86;5,7;4,44;4,3;4,06
2;2;blow;explosion;6,1;4,48;5;3,17;6,35;3,62
2;2;explode;explosion;4,38;5,32;2,96;3,17;6,35;3,62
1;3;exhibition;exposure;5,53;5,38;5,39;4,81;5,45;5,08
1;3;display;exposure;6,19;3,81;6,48;4,81;5,45;5,08
1;2;exhibit;exposure;5,77;5,48;6,21;4,81;5,45;5,08
3;9;fabric;tissue;6,05;2,4;5,8;5,3;3,1;5,32
1;5;fabric;textile;6,05;2,4;5,8;4,89;3,38;5,71
1;4;family;house;7,25;4,35;5,98;7,19;3,95;6,41
1;4;dynasty;family;5,16;4,45;5,45;7,25;4,35;5,98
2;4;famine;hunger;2,95;6,1;3,09;3,2;4,8;3,18
2;2;estate;farm;5,65;3,45;5,27;6,22;3,05;6,08
1;2;acre;array;5,53;2,73;4,94;5,9;3,71;5,62
1;2;acre;countryside;5,53;2,73;4,94;6,94;2,7;5,8
1;2;corporation;house;3,82;4,73;4,47;7,19;3,95;6,41
1;2;enterprise;house;6;4;5,65;7,19;3,95;6,41
1;2;company;house;5,64;3,29;5;7,19;3,95;6,41
1;2;house;venture;7,19;3,95;6,41;5,33;5,55;6,08
1;2;concern;house;5,05;4,7;5,55;7,19;3,95;6,41
1;2;house;partnership;7,19;3,95;6,41;6,5;3,73;6,33
1;2;blister;bubble;2,87;4,7;4,52;6,43;4,19;6,12
2;2;flow;stream;5,68;3,71;5,4;6,9;4,35;5,09
1;2;running;stream;6,53;5,52;5,89;6,9;4,35;5,09
1;3;bloom;meal;6,4;4,87;6,05;7,05;4,85;7,11
1;3;blossom;meal;7,05;4,75;5,64;7,05;4,85;7,11
1;3;bloom;flour;6,4;4,87;6,05;5,25;3,26;5,86
1;3;blossom;flour;7,05;4,75;5,64;5,25;3,26;5,86
5;10;fog;mist;5,77;3,67;4,05;6,47;3,05;4,7
1;3;fog;nebula;5,77;3,67;4,05;7;4,05;4,26
1;4;fog;haze;5,77;3,67;4,05;4,83;3,91;4,37
1;6;forecast;prediction;4,89;3,7;4,73;5,62;5,6;5,5
1;6;foresight;prediction;5,79;3,5;6,13;5,62;5,6;5,5
1;3;forecast;prognosis;4,89;3,7;4,73;3,83;4,67;5,14
1;3;foresight;prognosis;5,79;3,5;6,13;3,83;4,67;5,14
5;17;forest;wood;6,68;4,44;5,71;5,82;3,5;6,37
3;9;timber;wood;4,9;3,73;5,37;5,82;3,5;6,37
1;2;flammable;fuel;4,25;5,95;4,54;4,1;3,96;6,21
3;9;fungus;mushroom;2,79;4,67;3,61;5,61;3,14;5,5
1;2;fungus;sponge;2,79;4,67;3,61;5,45;4,25;6
1;2;fur;skin;5,65;3,64;6,11;5,78;3,25;5
3;8;furnace;stove;5,11;3,24;4,82;5,63;3,82;6,08
4;13;furnace;oven;5,11;3,24;4,82;6,16;2,95;6,04
2;2;garden;orchard;7,25;3,71;6,13;6,15;3,86;5,5
1;2;genetic;genetics;4,79;3,83;3,76;4,84;4,27;3,29
1;2;germ;sprout;2,5;4,1;3,65;5,7;3,59;5,32
1;3;cannabis;grass;6,05;5,85;5;6,47;3,39;5,67
1;3;grass;pot;6,47;3,39;5,67;5,81;4;6
1;3;grass;reefer;6,47;3,39;5,67;4,42;5,29;5,65
1;2;gravel;stone;4,42;2,95;4,8;4,81;3,25;7,26
1;3;city;hail;6,12;5,08;5,04;4,81;3,83;4,44
2;4;hazard;risk;2,9;5,77;4,22;5,17;6,43;3,89
4;8;danger;hazard;2,66;5,84;3,64;2,9;5,77;4,22
2;13;heat;hot;4,77;5,75;5,89;5,73;4,76;5
2;13;heat;warmth;4,77;5,75;5,89;7,53;4,33;6,32
1;3;alight;land;5,67;3,86;5,88;6,61;3,05;5,94
2;2;highway;road;5,19;4,28;5,14;5,59;3,81;6
2;2;highway;route;5,19;4,28;5,14;5,86;3,83;5,23
2;2;cyclone;hurricane;3,47;5,09;3,18;3,16;5,75;2,98
1;2;slope;tendency;5,42;3,59;4,5;4,85;3,72;4,68
1;2;precipice;tendency;4,58;4,14;3,79;4,85;3,72;4,68
1;2;penchant;slope;5,47;4,71;5,14;5,42;3,59;4,5
1;2;penchant;precipice;5,47;4,71;5,14;4,58;4,14;3,79
1;2;control;inspection;4,43;4,76;5,47;4,32;4,05;4,48
1;2;check;inspection;6,55;3,38;4,67;4,32;4,05;4,48
2;12;lacquer;varnish;4,95;3,3;5;4,89;3,43;5,45
2;3;enamel;lacquer;5,42;3,79;5,31;4,95;3,3;5
2;3;bulb;lamp;5,86;3,26;4,82;5,74;2,71;6,04
2;3;bulb;light;5,86;3,26;4,82;6,55;3,52;5,89
2;3;lamp;lightbulb;5,74;2,71;6,04;5,55;3,07;6,67
2;3;light;lightbulb;6,55;3,52;5,89;5,55;3,07;6,67
1;3;acre;land;5,53;2,73;4,94;6,61;3,05;5,94
1;2;region;state;5,21;3,24;6,04;5,73;3,29;5,65
1;2;nation;region;6;4,78;4,74;5,21;3,24;6,04
1;2;state;territory;5,73;3,29;5,65;5,3;4,32;6,23
1;2;nation;territory;6;4,78;4,74;5,3;4,32;6,23
1;2;state;terrain;5,73;3,29;5,65;5,53;3,09;4,83
1;2;nation;terrain;6;4,78;4,74;5,53;3,09;4,83
1;3;act;law;5,64;4,19;6,11;4,55;3,55;4,83
1;3;deed;law;5,89;3;5,92;4,55;3,55;4,83
1;5;law;right;4,55;3,55;4,83;7,32;5;7,16
3;15;feeble;weak;3,87;3,68;3,53;2,95;4,9;5,32
1;2;leaf;letter;6,16;3,05;5,54;5,68;3,19;5,97
1;3;escape;leakage;5,5;4,55;5,44;3,52;5,23;3,67
1;2;flight;leakage;6,11;4,2;5,33;3,52;5,23;3,67
1;2;bright;light;6,84;5;6,38;6,55;3,52;5,89
1;2;candle;light;6,14;3,81;6,08;6,55;3,52;5,89
1;4;illumination;lighting;6,84;4;6,18;6,52;4,92;6,18
1;3;file;lime;5,44;3,4;4,61;6,1;3,83;6,23
1;3;chalice;lime;5,19;3,48;5,76;6,1;3,83;6,23
5;13;human;person;6,45;3,62;5,71;6,1;3,71;6
