FamilyWeight;LanguageWeight;from_word;to_word
2;6;malady;sickness
1;2;dissolution;lechery
1;2;dissolution;profligacy
1;2;dissolution;looseness
2;8;district heating;teleheating
1;2;chasm;ditch
1;2;ditch;gap
1;2;ditch;fissure
1;2;ditch;gorge
1;2;abyss;ditch
1;2;ditch;precipice
1;3;paper;writing
3;6;domestic appliance;household appliance
2;6;domesticated animal;pet
1;2;domesticated animal;farm animal
2;3;dosage;dose
1;5;bill;law draft
2;4;dragonfly;odonate
1;2;drainage;runoff
1;2;drilling;perforation
1;2;breakthrough;drilling
1;2;drinking water;water for consumption
2;3;drought;dryness
2;3;drouth;dryness
2;3;aridness;drought
2;3;aridness;drouth
1;2;dehydration;drying out
1;2;drying;drying out
2;18;dune;sand dune
1;3;powder;street dust
1;3;powdre;street dust
2;2;dust;silt
2;2;powder;silt
2;2;powdre;silt
3;11;cloth;fabric
1;2;dwelling;housing
3;4;apartment;dwelling
1;3;issue;matter
1;3;concern;issue
2;2;early warning system;warning system
1;3;earthquake;seism
2;3;earth science;earth sciences
1;7;eco-balance;ecological balance
6;18;economics;economy
6;18;economic science;economy
2;2;economy;farm
1;3;edaphology;soil science
1;4;education;training
2;4;education;upbringing
1;2;effect;influence
1;2;clout;effect
2;3;sewage;waste water
7;14;ball;egg
7;14;egg;testicle
7;14;egg;nut
7;14;egg;testis
7;14;egg;orchis
7;14;ballock;egg
7;14;bollock;egg
2;8;electrical engineering;electrotechnics
1;10;electric power plant;power station
1;10;electric power generating plant;power station
2;7;electronics;electronics assembly
2;2;employment;occupation
1;2;employment;position
2;10;energy conservation;energy saving
2;2;energy economics;energy management
1;2;energy economics;energy industry
1;2;energy resource;energy source
1;3;application software;enforcement
1;3;applications software;enforcement
1;3;app;enforcement
1;3;enforcement;software application
1;3;application program;enforcement
1;2;enforcement;function
2;3;ambiance;environment
2;3;entourage;environment
2;3;environment;environs
2;2;device;equipment
2;2;corrosion;erosion
1;2;ethical;ethics
3;9;appraisal;evaluation
2;2;estimate;evaluation
2;9;assessment;evaluation
1;2;experiment;experimentation
1;2;experiment;test
2;2;blow;explosion
2;2;explode;explosion
1;2;exposé;exposure
1;3;exhibition;exposure
1;3;display;exposure
1;2;exhibit;exposure
2;3;extractive industry;mining industry
3;9;fabric;tissue
1;2;fabric;woven
1;5;fabric;textile
1;2;fallow area;fallow land
1;4;family;house
1;4;dynasty;family
2;4;famine;hunger
2;2;estate;farm
2;3;animal life;fauna
1;3;fee;levy
2;3;fen;swamp
2;2;fen;moor
1;5;fermentation;zymosis
1;3;acre;field of view
1;2;acre;array
1;2;acre;countryside
2;10;filling station;gas station
2;10;filling station;fueling station
2;10;fueling station;gas station
2;10;filling station;gasbar
2;10;gas station;gasbar
2;10;filling station;petrol garage
2;10;gas station;petrol garage
2;10;filling station;petrol kiosk
2;10;gas station;petrol kiosk
1;3;cinematographic film;movie
1;3;cinematographic film;motion picture
