WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
3;3;3;ash;fireplace;0,26;0,21;0,207;0,667;0,38;0,417
5;3;5;ash;oven;0,26;0,21;0,207;0,583;0,425;0,606
4;3;4;ash;smoke (exhaust);0,26;0,21;0,207;0,188;0,5;0,391
74;35;72;embers;charcoal;0,49;0,481;0,508;0,302;0,186;0,342
6;6;6;embers;fire;0,49;0,481;0,508;0,38;0,804;0,635
104;24;98;burn (something);burning;0,219;0,783;0,509;0,229;0,76;0,412
7;5;7;burn (something);hot;0,219;0,783;0,509;0,49;0,74;0,573
51;20;51;burn (something);light (ignite);0,219;0,783;0,509;0,771;0,32;0,519
12;8;12;burn (something);arson;0,219;0,783;0,509;0,133;0,904;0,567
6;4;6;burn (something);shoot;0,219;0,783;0,509;0,092;0,926;0,625
3;3;3;burn (something);smoke (inhale);0,219;0,783;0,509;0,188;0,5;0,391
10;9;10;burn (something);roast or fry;0,219;0,783;0,509;0,52;0,61;0,324
6;4;6;burn (something);cook (something);0,219;0,783;0,509;0,847;0,5;0,412
7;6;7;burn (something);bake;0,219;0,783;0,509;0,867;0,418;0,519
37;13;33;extinguish;kill;0,24;0,576;0,482;0,052;0,941;0,736
9;4;9;extinguish;die;0,24;0,576;0,482;0,031;0,765;0,259
3;3;3;extinguish;destroy;0,24;0,576;0,482;0,046;0,935;0,635
5;5;5;extinguish;murder;0,24;0,576;0,482;0,061;0,942;0,615
3;3;3;extinguish;fart;0,24;0,576;0,482;0,194;0,439;0,264
26;4;24;move;walk;0,656;0,647;0,67;0,643;0,412;0,45
17;8;16;move;mix;0,656;0,647;0,67;0,542;0,49;0,472
25;5;23;move;go;0,656;0,647;0,67;0,51;0,441;0,444
4;3;4;move;come;0,656;0,647;0,67;0,529;0,269;0,558
6;4;4;move;drive;0,656;0,647;0,67;0,625;0,689;0,713
10;5;8;move;shake;0,656;0,647;0,67;0,439;0,689;0,539
3;3;3;move;ride;0,656;0,647;0,67;0,806;0,465;0,472
5;4;5;move;change;0,656;0,647;0,67;0,625;0,575;0,606
20;9;20;turn (something);roll;0,531;0,398;0,482;0,469;0,51;0,172
10;7;10;turn (something);twist (around);0,531;0,398;0,482;0,375;0,469;0,337
23;6;23;turn (something);change;0,531;0,398;0,482;0,625;0,575;0,606
4;3;4;turn (something);mix;0,531;0,398;0,482;0,542;0,49;0,472
3;3;3;turn (something);dig;0,531;0,398;0,482;0,367;0,585;0,637
13;3;13;turn (something);translate;0,531;0,398;0,482;0,604;0,423;0,462
24;5;24;roll;twist (around);0,469;0,51;0,172;0,375;0,469;0,337
19;7;16;roll;wrap;0,469;0,51;0,172;0,594;0,441;0,275
6;5;6;roll;fold;0,469;0,51;0,172;0,385;0,412;0,33
12;7;12;twist (around);wrap;0,375;0,469;0,337;0,594;0,441;0,275
22;13;21;twist (around);squeeze;0,375;0,469;0,337;0,458;0,676;0,532
26;14;25;twist (around);spin;0,375;0,469;0,337;0,551;0,422;0,345
5;5;5;twist (around);weave;0,375;0,469;0,337;0,604;0,265;0,172
15;10;14;twist (around);bend;0,375;0,469;0,337;0,571;0,324;0,368
7;4;7;twist (around);braid;0,375;0,469;0,337;0,427;0,222;0,216
3;3;3;twist (around);knead;0,375;0,469;0,337;0,49;0,457;0,345
3;3;3;twist (around);grind;0,375;0,469;0,337;0,48;0,276;0,397
