from_word;to_word;LanguageWeight;FamilyWeight;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
affluence;wealth;10;2;0,663;0,618;0,722;0,857;0,637;0,858
faint;weak;13;2;0,063;0,429;0,167;0,18;0,241;0,045
light;weak;9;2;0,771;0,32;0,519;0,18;0,241;0,045
exit;way;3;1;0,37;0,353;0,399;0,48;0,275;0,42
path;way;11;3;0,59;0,245;0,421;0,48;0,275;0,42
route;way;14;3;0,583;0,353;0,518;0,48;0,275;0,42
time;way;2;1;0,604;0,288;0,609;0,48;0,275;0,42
manner;way;12;2;0,618;0,25;0,32;0,48;0,275;0,42
mode;way;10;2;0,531;0,185;0,367;0,48;0,275;0,42
habit;way;13;2;0,625;0,226;0,585;0,48;0,275;0,42
fling;wave;6;2;0,439;0,696;0,534;0,622;0,491;0,49
swing;wave;6;2;0,602;0,51;0,481;0,622;0,491;0,49
guard;watch;4;2;0,592;0,51;0,725;0,531;0,346;0,423
keep;watch;5;1;0,714;0,296;0,547;0,531;0,346;0,423
clock;watch;14;3;0,677;0,173;0,407;0,531;0,346;0,423
nipple;wart;3;2;0,48;0,786;0,415;0,082;0,314;0,205
guarantee;warrant;10;2;0,949;0,337;0,805;0,653;0,398;0,802
caution;warn;11;2;0,552;0,712;0,547;0,429;0,647;0,564
hearty;warm;4;2;0,76;0,684;0,792;0,76;0,312;0,585
cordial;warm;5;2;0,823;0,312;0,482;0,76;0,312;0,585
martial;warlike;8;2;0,48;0,71;0,737;0,367;0,847;0,779
magazine;warehouse;2;1;0,615;0,332;0,377;0,721;0,365;0,446
cloakroom;wardrobe;3;1;0,69;0,254;0,397;0,612;0,51;0,336
desire;want;10;2;0,896;0,692;0,647;0,671;0,642;0,598
need;want;12;3;0,51;0,574;0,2;0,671;0,642;0,598
roam;wander;9;2;0,51;0,55;0,444;0,427;0,417;0,33
tapestry;wall;2;1;0,52;0,176;0,362;0,417;0,25;0,509
purse;wallet;8;2;0,656;0,176;0,306;0,68;0,432;0,5
stroll;walk;9;2;0,745;0,415;0,444;0,643;0,412;0,45
march;walk;10;2;0,531;0,2;0,483;0,643;0,412;0,45
go;walk;9;2;0,51;0,441;0,444;0,643;0,412;0,45
arouse;wake;8;2;0,74;0,491;0,58;0,7;0,47;0,512
awaken;wake;7;2;0,729;0,412;0,611;0,7;0,47;0,512
abide;wait;10;2;0,635;0,354;0,705;0,224;0,167;0,264
expect;wait;11;2;0,469;0,327;0,377;0,224;0,167;0,264
await;wait;11;2;0,448;0,264;0,276;0,224;0,167;0,264
salary;wages;11;1;0,786;0,48;0,652;0,776;0,44;0,62
wage;wages;12;2;0,635;0,48;0,565;0,776;0,44;0,62
bet;wager;11;2;0,385;0,698;0,432;0,479;0,816;0,615
commonplace;vulgar;5;1;0,52;0,337;0,442;0,083;0,82;0,445
trip;voyage;13;2;0,875;0,643;0,538;0,816;0,714;0,58
empty;void;14;2;0,188;0,183;0,081;0,135;0,163;0,13
dictionary;vocabulary;10;1;0,62;0,25;0,598;0,53;0,247;0,585
shrew;vixen;4;1;0,306;0,463;0,39;0,367;0,615;0,414
caller;visitor;7;2;0,646;0,615;0,472;0,646;0,48;0,461
virgin;virginal;6;1;0,622;0,433;0,462;0,673;0,577;0,464
adder;viper;11;2;0,388;0,461;0,588;0,173;0,846;0,632
grapevine;vine;9;2;0,541;0,343;0,232;0,531;0,292;0,405
slave;villain;2;1;0,171;0,795;0,151;0,177;0,892;0,59
abject;vile;4;2;0,354;0,59;0,417;0,083;0,537;0,553
base;vile;4;2;0,635;0,298;0,553;0,083;0,537;0,553
low;vile;6;2;0,292;0,22;0,102;0,083;0,537;0,553
nasty;vile;5;1;0,115;0,62;0,264;0,083;0,537;0,553
appearance;view;9;1;0,669;0,49;0,534;0,896;0,292;0,555
aspect;view;10;1;0,479;0,469;0,588;0,896;0,292;0,555
look;view;12;2;0,719;0,429;0,615;0,896;0,292;0,555
sight;view;12;2;0,684;0,25;0,528;0,896;0,292;0,555
pastor;vicar;8;2;0,698;0,236;0,746;0,531;0,37;0,555
clergyman;vicar;7;2;0,594;0,33;0,556;0,531;0,37;0,555
quiver;vibrate;5;2;0,32;0,452;0,335;0,5;0,698;0,604
shiver;vibrate;4;2;0,26;0,765;0,236;0,5;0,698;0,604
tremble;vibrate;4;2;0,177;0,878;0,388;0,5;0,698;0,604
ship;vessel;14;3;0,646;0,5;0,439;0,49;0,398;0,538
basin;vessel;3;1;0,552;0,231;0,398;0,49;0,398;0,538
bowl;vessel;2;1;0,625;0,377;0,358;0,49;0,398;0,538
pelvis;vessel;2;1;0,378;0,618;0,38;0,49;0,398;0,538
audit;verify;7;1;0,375;0,562;0,735;0,761;0,481;0,704
inspect;verify;3;1;0,479;0,603;0,793;0,761;0,481;0,704
check;verify;10;2;0,523;0,552;0,602;0,761;0,481;0,704
supervise;verify;8;1;0,698;0,555;0,889;0,761;0,481;0,704
adjudication;verdict;6;2;0,551;0,462;0,691;0,325;0,689;0,8
judgment;verdict;5;2;0,396;0,6;0,816;0,325;0,689;0,8
porch;veranda;6;2;0,535;0,324;0,388;0,743;0,343;0,439
hazard;venture;10;2;0,112;0,884;0,757;0,893;0,81;0,644
risk;venture;10;2;0,24;0,816;0,438;0,893;0,81;0,644
revenge;vengeance;11;2;0,23;0,94;0,627;0,103;0,927;0,719
tub;vat;7;3;0,449;0,235;0,265;0,333;0,491;0,509
extensive;vast;9;2;0,635;0,52;0,76;0,52;0,535;0,545
spacious;vast;8;2;0,88;0,365;0,557;0,52;0,535;0,545
steam;vapor;10;3;0,469;0,413;0,421;0,51;0,358;0,318
tube;valve;5;1;0,418;0,279;0,409;0,323;0,363;0,471
costly;valuable;9;1;0,316;0,65;0,642;0,899;0,547;0,798
dear;valuable;11;2;0,88;0,434;0,629;0,899;0,547;0,798
pricey;valuable;8;1;0,34;0,567;0,43;0,899;0,547;0,798
expensive;valuable;10;2;0,323;0,54;0,53;0,899;0,547;0,798
brave;valiant;10;2;0,837;0,75;0,917;0,88;0,745;0,904
courageous;valiant;8;2;0,918;0,587;0,879;0,88;0,745;0,904
overpower;usurp;3;1;0,448;0,859;0,783;0,125;0,818;0,433
general;usual;11;2;0,834;0,484;0,853;0,625;0,221;0,4
public;usual;2;2;0,592;0,51;0,664;0,625;0,221;0,4
