WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
1;1;1;mountain or hill;ladder
2;1;1;mountain or hill;country
1;1;1;mountain or hill;bull
1;1;1;mountain or hill;hole
1;1;1;mountain or hill;spring or well
3;1;3;mountain or hill;he or she or it
2;1;2;mountain or hill;knee
3;2;3;mountain or hill;spindle
1;1;1;mountain or hill;float
1;1;1;mountain or hill;grind
1;1;1;mountain or hill;hate
1;1;1;mountain or hill;anger
1;1;1;mountain or hill;debt
1;1;1;mountain or hill;piss
1;1;1;mountain or hill;clear
1;1;1;mountain or hill;lake
3;1;3;mountain or hill;spade
1;1;1;mountain or hill;hammer
2;1;2;mountain or hill;shovel
1;1;1;mountain or hill;face
1;1;1;mountain or hill;day after tomorrow
2;1;2;mountain or hill;clothes
1;1;1;mountain or hill;nape (of neck)
1;1;1;mountain or hill;evening
1;1;1;mountain or hill;rain (precipitation)
1;1;1;mountain or hill;candle
1;1;1;mountain or hill;roof
1;1;1;mountain or hill;good
1;1;1;mountain or hill;beautiful
1;1;1;mountain or hill;love
1;1;1;mountain or hill;round
1;1;1;mountain or hill;drum
2;1;2;mountain or hill;forest
1;1;1;mountain or hill;pour
1;1;1;mountain or hill;measure
1;1;1;mountain or hill;thing
1;1;1;mountain or hill;dance
1;1;1;mountain or hill;dog
1;1;1;mountain or hill;elk
1;1;1;mountain or hill;village
1;1;1;mountain or hill;flour
1;1;1;mountain or hill;he
1;1;1;mountain or hill;she
1;1;1;mountain or hill;owl
1;1;1;mountain or hill;stable
1;1;1;mountain or hill;person
1;1;1;mountain or hill;change
1;1;1;mountain or hill;be hungry
1;1;1;mountain or hill;bat
1;1;1;mountain or hill;pair
71;7;63;precipice;stone or rock
6;5;6;precipice;reef
1;1;1;precipice;field
2;2;2;precipice;plain
3;2;3;precipice;ditch
1;1;1;precipice;river
1;1;1;precipice;cut
6;5;6;precipice;wall (of house)
2;2;2;precipice;cape
1;1;1;precipice;rough
1;1;1;precipice;wave
1;1;1;precipice;big
5;3;5;precipice;edge
2;2;2;precipice;hole
1;1;1;precipice;mute
4;3;4;precipice;valley
3;1;3;precipice;top
2;2;2;precipice;shovel
1;1;1;precipice;throat
1;1;1;precipice;waterfall
2;1;2;precipice;shoulder
1;1;1;precipice;tall
1;1;1;precipice;summer
1;1;1;precipice;dig
1;1;1;precipice;spade
2;1;2;precipice;forehead
3;2;3;precipice;shore
1;1;1;precipice;face
2;1;2;precipice;board
2;1;2;precipice;servant
1;1;1;precipice;wheel
1;1;1;precipice;sun
2;2;2;precipice;fortress
1;1;1;precipice;head
1;1;1;precipice;muroid (mouse or rat)
