WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
6;6;6;rise (move upwards);ride;5,73;5,3;7,16;6,27;5,1;5,28
4;3;4;rise (move upwards);jump;5,73;5,3;7,16;6,44;5,14;5,72
10;3;10;rise (move upwards);leave;5,73;5,3;7,16;4,68;4,48;5,47
10;6;10;lift;carry;5,32;4,9;6,84;5,67;3,47;4,94
3;3;3;lift;get;5,32;4,9;6,84;6,09;3,67;5,65
14;6;14;lift;take;5,32;4,9;6,84;4,82;4,52;4,83
13;6;13;lift;build;5,32;4,9;6,84;6,33;3,38;6,5
3;3;3;lift;stretch;5,32;4,9;6,84;5;4,73;6,23
3;3;3;lift;put;5,32;4,9;6,84;5,09;3,86;5,94
5;3;5;lift;weigh;5,32;4,9;6,84;4,32;4,14;5
44;15;41;fall;tumble (fall down);3,89;4,24;3,83;5,65;4,9;4,52
7;3;7;fall;eat;3,89;4,24;3,83;7,1;4,38;7,26
3;3;3;fall;cut;3,89;4,24;3,83;3,9;5,07;4,55
3;3;3;fall;climb;3,89;4,24;3,83;5,62;3,95;5,61
8;4;8;fall;drip (emit liquid);3,89;4,24;3,83;5,52;3,7;4,11
21;3;21;fall;drop;3,89;4,24;3,83;4,23;4,67;4,82
9;6;8;fall;sink (descend);3,89;4,24;3,83;4,62;3,7;4,1
4;4;4;fall;kill;3,89;4,24;3,83;1,81;6,81;3,61
56;14;54;fall;drop (something);3,89;4,24;3,83;4,23;4,67;4,82
3;3;3;fall;slip;3,89;4,24;3,83;4,33;4,7;3,81
3;3;3;fall;land (descend);3,89;4,24;3,83;6,61;3,05;5,94
8;3;8;fall;go;3,89;4,24;3,83;6,32;4,86;5,33
13;4;11;drip (emit liquid);pour;5,52;3,7;4,11;5,16;3,28;5,35
34;15;32;drip (emit liquid);dribble;5,52;3,7;4,11;4,68;3,75;4,67
25;7;25;drip (emit liquid);drop (something);5,52;3,7;4,11;4,23;4,67;4,82
18;6;17;drip (emit liquid);flow;5,52;3,7;4,11;5,68;3,71;5,4
51;17;49;throw;shoot;5,55;4,52;6,12;3,5;6;4,67
6;3;6;throw;drop (something);5,55;4,52;6,12;4,23;4,67;4,82
7;5;7;throw;pour;5,55;4,52;6,12;5,16;3,28;5,35
4;3;4;throw;pull;5,55;4,52;6,12;5,59;4,1;6
3;3;3;throw;eat;5,55;4,52;6,12;7,1;4,38;7,26
5;3;3;throw;put;5,55;4,52;6,12;5,09;3,86;5,94
6;6;6;throw;divorce;5,55;4,52;6,12;2,49;5,39;4,02
3;3;3;throw;strike or beat;5,55;4,52;6,12;3,72;5,52;4,435
5;4;5;throw;misplace;5,55;4,52;6,12;3,15;4,83;4,14
95;13;88;shake;shiver;4,59;5,2;6,37;3,61;4,65;3,04
7;6;7;shake;swing (movement);4,59;5,2;6,37;6,95;4,1;6,16
8;5;8;shake;mix;4,59;5,2;6,37;5,71;2,86;5,56
44;10;40;shake;jog (something);4,59;5,2;6,37;5,81;3,43;6,35
10;6;10;shake;swing (something);4,59;5,2;6,37;6,95;4,1;6,16
3;3;3;shake;sway;4,59;5,2;6,37;5,25;3,68;6,15
15;8;13;flow;go;5,68;3,71;5,4;6,32;4,86;5,33
4;3;4;flow;blow (of wind);5,68;3,71;5,4;6,1;4,48;5
37;12;34;flow;run;5,68;3,71;5,4;6,41;5,24;5,44
4;3;4;flow;come;5,68;3,71;5,4;5,64;3,57;5,94
15;9;14;flow;walk;5,68;3,71;5,4;6,77;3,24;5,83
22;7;21;flow;float;5,68;3,71;5,4;6,42;3,1;5,91
10;6;10;flow;pour;5,68;3,71;5,4;5,16;3,28;5,35
6;3;6;flow;dribble;5,68;3,71;5,4;4,68;3,75;4,67
3;3;3;flow;fly (move through air);5,68;3,71;5,4;6,06;4,9;5,28
5;3;4;flow;swim;5,68;3,71;5,4;6,71;6,05;6,47
5;4;5;flow;sail;5,68;3,71;5,4;6,84;3,74;6,37
6;6;6;flow;leave;5,68;3,71;5,4;4,68;4,48;5,47
3;3;3;flow;retreat;5,68;3,71;5,4;4,92;4,12;4,68
36;12;36;flow;stream (flow continuously);5,68;3,71;5,4;6,9;4,35;5,09
26;15;24;sink (descend);dive;4,62;3,7;4,1;5,81;3,79;5,75
3;3;3;sink (descend);enter;4,62;3,7;4,1;6,09;4,3;6,79
8;6;8;sink (descend);set (heavenly bodies);4,62;3,7;4,1;5,23;3,1;5,81
6;5;6;sink (descend);drown;4,62;3,7;4,1;2,33;5,35;2,65
3;3;3;float;go;6,42;3,1;5,91;6,32;4,86;5,33
93;17;86;float;swim;6,42;3,1;5,91;6,71;6,05;6,47
51;8;47;float;sail;6,42;3,1;5,91;6,84;3,74;6,37
3;3;3;float;bathe;6,42;3,1;5,91;7,5;3,15;6,5
5;3;5;float;fly (move through air);6,42;3,1;5,91;6,06;4,9;5,28
3;3;3;swim;wash;6,71;6,05;6,47;6;3,7;6,53
3;3;3;swim;walk;6,71;6,05;6,47;6,77;3,24;5,83
3;3;3;swim;dig;6,71;6,05;6,47;5,28;3,67;4,67
70;6;64;swim;sail;6,71;6,05;6,47;6,84;3,74;6,37
30;13;30;swim;bathe;6,71;6,05;6,47;7,5;3,15;6,5
31;3;31;swim;row;6,71;6,05;6,47;5,48;3,39;6,06
3;3;3;swim;water;6,71;6,05;6,47;7;3,71;6,12
23;3;23;sail;row;6,84;3,74;6,37;5,48;3,39;6,06
3;3;3;sail;walk;6,84;3,74;6,37;6,77;3,24;5,83
6;6;6;blow (of wind);shoot;6,1;4,48;5;3,5;6;4,67
7;5;7;blow (of wind);fly (move through air);6,1;4,48;5;6,06;4,9;5,28
50;11;50;blow (of wind);blow (with mouth);6,1;4,48;5;6,1;4,48;5
3;3;3;blow (of wind);dig;6,1;4,48;5;5,28;3,67;4,67
4;3;4;blow (of wind);give;6,1;4,48;5;7,73;4,57;5,72
6;4;5;blow (of wind);breath or breathe;6,1;4,48;5;6,89;2,475;6
32;7;31;blow (of wind);wind;6,1;4,48;5;5,67;3,7;4,5
4;4;4;blow (of wind);whistle;6,1;4,48;5;5,7;3,94;5,78
5;3;5;blow (of wind);come;6,1;4,48;5;5,64;3,57;5,94
4;4;4;kneel;knee;4;3,18;4,88;4,7;4,25;5,38
18;6;18;crouch;sit;4,79;4,05;4,87;5,82;3,19;6,06
4;3;4;crouch;bend;4,79;4,05;4,87;5,75;4,4;6
10;8;10;jump;run;6,44;5,14;5,72;6,41;5,24;5,44
17;5;17;jump;dance;6,44;5,14;5,72;7,27;5,48;6,28
23;14;23;jump;fly (move through air);6,44;5,14;5,72;6,06;4,9;5,28
3;3;3;jump;splash;6,44;5,14;5,72;6,53;4,8;5,96
4;4;4;jump;flee;6,44;5,14;5,72;3,84;4,95;5
4;3;4;kick;shoot;4,55;5,1;5,1;3,5;6;4,67
11;7;11;kick;strike or beat;4,55;5,1;5,1;3,72;5,52;4,435
9;4;9;kick;push;4,55;5,1;5,1;5,39;4,4;4,06
3;3;3;kick;pound;4,55;5,1;5,1;4,62;4,26;6,11
320;39;288;walk;go;6,77;3,24;5,83;6,32;4,86;5,33
18;7;16;walk;come;6,77;3,24;5,83;5,64;3,57;5,94
14;5;12;walk;run;6,77;3,24;5,83;6,41;5,24;5,44
6;4;6;walk;enter;6,77;3,24;5,83;6,09;4,3;6,79
8;5;8;walk;fly (move through air);6,77;3,24;5,83;6,06;4,9;5,28
3;3;3;walk;give;6,77;3,24;5,83;7,73;4,57;5,72
4;3;4;walk;move (oneself);6,77;3,24;5,83;4,95;4,24;5,12
6;4;6;walk;ride;6,77;3,24;5,83;6,27;5,1;5,28
30;10;30;walk;leave;6,77;3,24;5,83;4,68;4,48;5,47
3;3;3;walk;hunt;6,77;3,24;5,83;3,84;5,1;5,3
14;8;14;walk;drive;6,77;3,24;5,83;6,5;4,19;5,67
3;3;3;walk;follow;6,77;3,24;5,83;4,82;3,76;4,81
3;3;3;walk;blood;6,77;3,24;5,83;3,48;5,76;3,94
5;3;5;walk;cut;6,77;3,24;5,83;3,9;5,07;4,55
12;5;11;walk;step (verb);6,77;3,24;5,83;5,68;3,48;6
9;3;9;walk;walk (take a walk);6,77;3,24;5,83;6,77;3,24;5,83
74;18;73;limp;lame;2,81;3;4,45;3,2;2,74;3,45
84;23;80;run;flee;6,41;5,24;5,44;3,84;4,95;5
4;3;4;run;fly (move through air);6,41;5,24;5,44;6,06;4,9;5,28
4;3;3;run;come;6,41;5,24;5,44;5,64;3,57;5,94
6;3;5;run;hurry;6,41;5,24;5,44;4,32;5,62;4,56
6;6;6;run;retreat;6,41;5,24;5,44;4,92;4,12;4,68
3;3;3;run;give;6,41;5,24;5,44;7,73;4,57;5,72
3;3;3;run;ride;6,41;5,24;5,44;6,27;5,1;5,28
4;3;4;run;stream (flow continuously);6,41;5,24;5,44;6,9;4,35;5,09
10;5;10;run;escape;6,41;5,24;5,44;5,5;4,55;5,44
3;3;3;run;sharp;6,41;5,24;5,44;5,24;6;4,92
27;14;25;go;come;6,32;4,86;5,33;5,64;3,57;5,94
90;29;86;go;leave;6,32;4,86;5,33;4,68;4,48;5,47
13;4;13;go;ride;6,32;4,86;5,33;6,27;5,1;5,28
