Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
lie down;0,694378722747693;0,158260850330857;0,378443944818579;0,648862424575734;0,267976881364158;0,440564347811733;0,586523647517505;0,453387169351186;0,530216945001823;NA;NA;NA
stand;0;0;0;0;0;0;0;0;0;0,6;0,324;0,509
remain;0,636661724751156;0,302860361771898;0,546216705667461;0,623316103507061;0,324401104596953;0,537118982540532;0,597629793004919;0,376218631376145;0,534168305544672;NA;NA;NA
gather;0;0;0;0;0;0;0;0;0;0,648;0,51;0,546
pick up;0,625520900625111;0,510227416971527;0,568068355933801;0,612730854835306;0,522772998257442;0,56299751998901;0,579629640876656;0,526228225509708;0,546750348759091;NA;NA;NA
join;0;0;0;0;0;0;0;0;0;0,729;0,479;0,684
separate;0;0;0;0;0;0;0;0;0;0,24;0,514;0,349
divide;0,566526547528594;0,537912321290596;0,471052369531458;0,45157452087827;0,527252759173572;0,423560867082248;0,454279727896663;0,502462137648447;0,412291392674214;NA;NA;NA
open;0,550522106077881;0,482667749225626;0,483976968173398;0,545765271362405;0,492194395923009;0,490429326040411;0,529720301959073;0,514190763129461;0,499260239405758;NA;NA;NA
shut;0,42079678007075;0,283992015537816;0,460204553593479;0,427066028812467;0,291339946117776;0,458226797569226;0,505394851214413;0,358618842602741;0,445540493609192;NA;NA;NA
cover;0;0;0;0;0;0;0;0;0;0,365;0,24;0,471
high;0;0;0;0;0;0;0;0;0;0,684;0,51;0,614
low;0;0;0;0;0;0;0;0;0;0,292;0,22;0,102
pointed;0,475558620689655;0,551737931034483;0,566268965517241;0,461108695652174;0,520108695652174;0,532913043478261;0,4802;0,4298;0,4656;NA;NA;NA
edge;0;0;0;0;0;0;0;0;0;0,439;0,47;0,468
side;0;0;0;0;0;0;0;0;0;0,439;0,288;0,395
near;0,471686954173072;0,342519106810609;0,428240264279404;0,501515242672163;0,351729011531939;0,441696873950805;0,57910456586127;0,382335381739127;0,495445328631367;NA;NA;NA
east;0,827;0,235;0,519;0,827;0,235;0,519;0,827;0,235;0,519;NA;NA;NA
west;0;0;0;0;0;0;0;0;0;0,562;0,337;0,414
north;0;0;0;0;0;0;0;0;0;0,531;0,255;0,45
south;0;0;0;0;0;0;0;0;0;0,562;0,265;0,429
grow;0,654629470247728;0,491917501921837;0,637015473051958;0,670020755903541;0,477635563633667;0,616925416017145;0,684268517007401;0,495977560373215;0,622129328763192;NA;NA;NA
measure;0;0;0;0;0;0;0;0;0;0,51;0,375;0,365
big;0,543008559182341;0,441716966637524;0,544229500606912;0,550464704888903;0,422589986697999;0,530577956587235;0,561185347059038;0,425968210666923;0,552059218039076;NA;NA;NA
small;0,518779509542202;0,365941440226225;0,368581311233354;0,506944037553435;0,356702598877492;0,362778917667417;0,585037250285833;0,351622193407761;0,365648677674835;NA;NA;NA
long;0;0;0;0;0;0;0;0;0;0,541;0,353;0,543
tall;0;0;0;0;0;0;0;0;0;0,725;0,591;0,538
short;0;0;0;0;0;0;0;0;0;0,184;0,264;0,237
wide;0;0;0;0;0;0;0;0;0;0,571;0,312;0,472
narrow;0;0;0;0;0;0;0;0;0;0,26;0,368;0,356
thick;0,486254543816873;0,376106186398824;0,488701626174123;0,523721593750606;0,356928671589964;0,494845385030169;0,506732538455654;0,354504895091632;0,501928177498733;NA;NA;NA
thin (of shape of object);0;0;0;0;0;0;0;0;0;0,469;0,337;0,356
deep;0;0;0;0;0;0;0;0;0;0,49;0,473;0,657
shallow;0;0;0;0;0;0;0;0;0;0,427;0,298;0,351
flat;0;0;0;0;0;0;0;0;0;0,408;0,236;0,303
straight;0;0;0;0;0;0;0;0;0;0,667;0,298;0,669
crooked;0,420995241411328;0,400091341689879;0,37575348189415;0,401651792245792;0,414130212143376;0,361830285296267;0,299068965461591;0,462586206771605;0,357448275782579;NA;NA;NA
hook;0;0;0;0;0;0;0;0;0;0,418;0,444;0,395
round;0,646199633219806;0,366722164003144;0,368660990306523;0,655118843683083;0,368278372591006;0,352720556745182;0,574947368421053;0,322736842105263;0,336789473684211;NA;NA;NA
circle;0,656047681425203;0,369118679591302;0,391071260151952;0,668491970021413;0,375710920770878;0,375559421841542;0,651736842105263;0,371684210526316;0,390947368421053;NA;NA;NA
line;0;0;0;0;0;0;0;0;0;0,541;0,18;0,353
hole;0;0;0;0;0;0;0;0;0;0,531;0,31;0,33
similar;0;0;0;0;0;0;0;0;0;0,562;0,25;0,423
change;0,564305750325856;0,515867361905965;0,577597785979153;0,570532780704644;0,551189572772832;0,603743931750531;0,610996418057617;0,566377833825267;0,58835542132445;NA;NA;NA
count;0;0;0;0;0;0;0;0;0;0,594;0,389;0,492
all;0,447902939820339;0,607142479942876;0,64224280675458;0,484380882263248;0,512633557864891;0,58394613552399;0,476641393588037;0,478602840614797;0,551181602038264;NA;NA;NA
many;0,448432601749444;0,608932209477444;0,645085093893371;0,486700054550466;0,51382156634843;0,590356536684913;0,482010418300195;0,470681712250629;0,570864054723466;NA;NA;NA
more;0,440079179688696;0,648482074010398;0,654257033158299;0,502198509731906;0,54316478823171;0,594637509918244;0,488436954593523;0,554633726969279;0,611964776744612;NA;NA;NA
few;0,490418091324357;0,344778098895974;0,357046638345395;0,462632856774878;0,3243806615657;0,343469393513594;0,459024145641218;0,325345202890229;0,342541948069952;NA;NA;NA
enough;0,465008872316164;0,601971547232314;0,652681242283201;0,514921450819037;0,498090902529487;0,608970524929515;0,522370907817869;0,489875417371622;0,627328356436026;NA;NA;NA
some;0,509034391448457;0,320600010545931;0,35844034769827;0,499403800284374;0,30028100379514;0,343056582217387;0,523460108074745;0,308743311410742;0,364890861703015;NA;NA;NA
crowd;0;0;0;0;0;0;0;0;0;0,35;0,827;0,731
full;0;0;0;0;0;0;0;0;0;0,602;0,255;0,704
empty;0;0;0;0;0;0;0;0;0;0,188;0,183;0,081
part;0;0;0;0;0;0;0;0;0;0,663;0,278;0,36
half;0;0;0;0;0;0;0;0;0;0,5;0,274;0,276
only;0,394550479369527;0,220394286157981;0,273966882768056;0,380501636686823;0,207730801299287;0,261255418722001;0,39385997620525;0,216870660596812;0,273168996625903;NA;NA;NA
first;0,555506528633422;0,368568711611752;0,436123237075015;0,543587663328917;0,382860323861454;0,446775622984356;0,549140810541215;0,409296486268362;0,485244413461246;NA;NA;NA
last (final);0,315604126179957;0,365017202294976;0,360742765289938;0,318469436745441;0,365284509756617;0,359387341553292;0,381580505077911;0,383037216894728;0,396149963859026;NA;NA;NA
second;0;0;0;0;0;0;0;0;0;0,49;0,21;0,25
pair;0;0;0;0;0;0;0;0;0;0,552;0,317;0,304
third;0,561578947368421;0,220526315789474;0,334789473684211;0,545684210526316;0,218421052631579;0,321421052631579;0,537428571428571;0,214285714285714;0,308285714285714;NA;NA;NA
time;0;0;0;0;0;0;0;0;0;0,604;0,288;0,609
age;0;0;0;0;0;0;0;0;0;0,561;0,226;0,498
new;0,728221283844466;0,451439013665368;0,503037389871712;0,692902133329178;0,428203750808925;0,493523294986805;0,63231438232746;0,431064696570583;0,497467890375246;NA;NA;NA
young;0;0;0;0;0;0;0;0;0;0,812;0,52;0,537
old;0;0;0;0;0;0;0;0;0;0,41;0,279;0,315
early;0;0;0;0;0;0;0;0;0;0,633;0,373;0,426
late;0;0;0;0;0;0;0;0;0;0,245;0,358;0,315
now;0,719587536000435;0,368850880342732;0,426911627217827;0,724518645999494;0,363583716053326;0,424780880640839;0,686306138876117;0,382012533417698;0,471153752024978;NA;NA;NA
immediately;0,669730243606166;0,412509976762528;0,454500045021389;0,679594649852105;0,419462862447072;0,461835148028676;0,701001189931357;0,412496182512598;0,486712578711523;NA;NA;NA
fast;0,587869301730322;0,490680048360653;0,494715139578889;0,612364690025696;0,486529738515606;0,500626036118572;0,647431374866307;0,467340852640147;0,549405360767892;NA;NA;NA
slow;0;0;0;0;0;0;0;0;0;0,357;0,073;0,131
hurry;0;0;0;0;0;0;0;0;0;0,422;0,735;0,481
begin or start;0,545089920604712;0,403008759412711;0,47559358574662;0,537508313918764;0,403962057267852;0,471568387388703;0,532199074428408;0,418419557622192;0,489519672220796;NA;NA;NA
cease;0,491901780205645;0,379094924844409;0,466498604611518;0,494046697355025;0,396357608605216;0,472736307115336;0,476508171216098;0,420835543031294;0,440631245685303;NA;NA;NA
ready;0,696601774463233;0,420794309446463;0,58713624845664;0,670981873265932;0,404944054429882;0,585223967291426;0,650592726954467;0,405968854342906;0,594082089109006;NA;NA;NA
always;0,439605649121113;0,579103834482994;0,597714208567589;0,471238909111512;0,505901511667037;0,547620531362516;0,471272368876118;0,486523968979104;0,531499149353247;NA;NA;NA
