Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
fruit juice;0,419339622641509;0,642509433962264;0,480188679245283;0,402823529411765;0,627235294117647;0,489058823529412;0,402823529411765;0,627235294117647;0,489058823529412;NA;NA;NA
coach;0;0;0;0;0;0;0;0;0;0,633;0,823;0,735
tin;0;0;0;0;0;0;0;0;0;0,469;0,37;0,217
die;0;0;0;0;0;0;0;0;0;0,031;0,765;0,259
reflect;0,786;0,408;0,618;0,786;0,408;0,618;0,786;0,408;0,618;NA;NA;NA
alien;0;0;0;0;0;0;0;0;0;0,41;0,615;0,491
dumb;0;0;0;0;0;0;0;0;0;0,188;0,33;0,151
launch;0;0;0;0;0;0;0;0;0;0,684;0,814;0,598
believe;0;0;0;0;0;0;0;0;0;0,781;0,37;0,682
run;0;0;0;0;0;0;0;0;0;0,542;0,787;0,543
race;0,6548;0,8296;0,4824;0,636;0,8225;0,4925;0,636;0,8225;0,4925;NA;NA;NA
forgiveness;0;0;0;0;0;0;0;0;0;0,667;0,43;0,471
quotidian;0,625;0,221;0,4;0,625;0,221;0,4;0,625;0,221;0,4;NA;NA;NA
mundane;0;0;0;0;0;0;0;0;0;0,312;0,42;0,48
routine;0;0;0;0;0;0;0;0;0;0,365;0,219;0,333
unremarkable;0;0;0;0;0;0;0;0;0;0,271;0,155;0,23
usual;0;0;0;0;0;0;0;0;0;0,625;0,221;0,4
understand;0,6055;0,36025;0,61625;0,6358;0,3806;0,6224;0,6055;0,36025;0,61625;NA;NA;NA
get to know;0,6055;0,36025;0,61625;0,6358;0,3806;0,6224;0,6055;0,36025;0,61625;NA;NA;NA
event;0;0;0;0;0;0;0;0;0;0,745;0,673;0,664
face;0;0;0;0;0;0;0;0;0;0,571;0,173;0,453
appealing;0,870517905212;0,666328122145215;0,748239667961851;0,872823010829678;0,659324800859214;0,743134296965899;0,873319253783879;0,658110524463217;0,742717001055966;NA;NA;NA
comely;0,875;0,516;0,561;0,875;0,516;0,561;0,875;0,516;0,561;NA;NA;NA
handsome;0,875;0,516;0,561;0,875;0,516;0,561;0,875;0,516;0,561;NA;NA;NA
good-looking;0,875;0,516;0,561;0,875;0,516;0,561;0,875;0,516;0,561;NA;NA;NA
reason;0,658333333333333;0,424055555555556;0,661722222222222;0,690166666666667;0,434;0,6965;0,690166666666667;0,434;0,6965;NA;NA;NA
intellect;0;0;0;0;0;0;0;0;0;0,844;0,418;0,87
heaven;0;0;0;0;0;0;0;0;0;0,896;0,385;0,6
same;0,603652963156828;0,27153742928086;0,452142842783508;0,607100934084895;0,278856729803669;0,45866275578363;0,607771805924722;0,280884351724646;0,458126421787293;NA;NA;NA
identical;0;0;0;0;0;0;0;0;0;0,635;0,38;0,527
bind;0;0;0;0;0;0;0;0;0;0,398;0,462;0,448
brainbox;0,6585;0,4145;0,725;0,6585;0,4145;0,725;0,6585;0,4145;0,725;NA;NA;NA
genius;0;0;0;0;0;0;0;0;0;0,878;0,667;0,846
brainiac;0,6585;0,4145;0,725;0,6585;0,4145;0,725;0,6585;0,4145;0,725;NA;NA;NA
