Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
understood;5,43257208449645;4,02375643281679;5,7371976421751;5,17992519649477;4,14165393161895;5,56905582334171;5,39119546128848;4,04647201133945;5,69618822689102;NA;NA;NA
to rasp;5,28;2,35;5,5;5,28;2,35;5,5;5,28;2,35;5,5;NA;NA;NA
to question;5,25029830248611;4,07460221625163;5,09305078052494;5,23426976795951;4,09308020987192;5,07893555621436;5,23820845212956;4,08786300738986;5,0870103184918;NA;NA;NA
to query;5,25029857671676;4,0746024686442;5,09305108667939;5,23427029138828;4,09308067859613;5,07893613977198;5,23820873208491;4,08786326481616;5,08701063061381;NA;NA;NA
to quarter;5,18382862738241;3,20272998883369;5,75395694995675;5,18257894621067;3,20495114322734;5,75192365922997;5,18849420646106;3,20009468168171;5,75297191698141;NA;NA;NA
to put to death;5,13635907497437;4,11721448649285;5,63133526952269;5,00035862937065;4,1773590044753;5,52091943728332;5,1194587364137;4,12857612075656;5,60986073988785;NA;NA;NA
to put off;4,45147967731989;4,28573481715054;5,00009338157812;4,44229333865799;4,29248986076672;5,00409550023231;4,44590636959372;4,29001640295117;4,99525361806242;NA;NA;NA
to purify;4,98444444444444;3,57999999999999;6,09333333333332;4,99176470588234;3,61176470588235;6,0635294117647;4,98444444444444;3,57999999999999;6,09333333333332;NA;NA;NA
to proscribe;2,67999999999999;4,76999999999998;3,49999999999999;2,67999999999999;4,76999999999999;3,49999999999999;2,68;4,76999999999999;3,5;NA;NA;NA
to propel;5,34023872274145;4,21297145060161;5,66384130601595;5,31616614667102;4,26232088025223;5,70570489723368;5,32339567908423;4,23676154138742;5,63932690006635;NA;NA;NA
to propagate;4,56207917950894;4,80558433294876;5,5087672651772;4,56548030446868;4,80913981411681;5,52475080055652;4,55968210653146;4,81038242727568;5,51235019491346;NA;NA;NA
to pronounce;5,11867024634516;3,36337893061009;5,66921302603924;5,11733879909389;3,36636948976306;5,66455518145047;5,13494787232865;3,35413575920114;5,66617636087372;NA;NA;NA
to prolong;5,57858829587769;4,25630505015902;6,11654678189451;5,44278072262804;4,26757021145048;5,98407091587424;5,55977144526564;4,25830761811926;6,09595878097289;NA;NA;NA
to project;5,65381006160423;4,34841712796946;5,59717448990775;5,6354215508476;4,3536611567762;5,58479138158525;5,65152760705874;4,34874138838091;5,59526766032624;NA;NA;NA
to progress;5,14085796094204;3,47005831488553;5,67318182829755;5,10456802160865;3,55420121745621;5,63086875906678;5,1580493935627;3,46095895800332;5,66619694362457;NA;NA;NA
to present;5,1423666286937;3,60557538209481;5,6689463836246;5,07031191353752;3,73932646142402;5,59892237062819;5,1422137025623;3,60735041519461;5,65901321988882;NA;NA;NA
to prepare;4,56207963113621;4,80558475020417;5,50876776885359;4,56548126705312;4,80914068121058;5,52475187298317;4,55968258466365;4,81038286870417;5,51235072748547;NA;NA;NA
to praise;5,31475685114694;3,96838661289757;5,31486277991823;5,28133032611915;4,00978190501751;5,284168792437;5,28661488648306;3,99812202645813;5,30052858690988;NA;NA;NA
to pour;5,04565068135006;3,73409379420639;5,50731851598924;5,05698184531397;3,72471746075229;5,4971111381978;5,12931089384521;3,68631537115456;5,49425694083007;NA;NA;NA
